index,salary_id,employer_name,location_name,location_state,location_country,location_latitude,location_longitude,job_title,job_title_category,job_title_rank,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus,stock_value_bonus,comments,submitted_at,male_count,female_count,male_proportion,female_proportion
1244,2481,google,mountain view,CA,US,NA,NA,test engineer,Engineering,NA,3,2,126000,0,25000,"30,000",NA,3/21/16 21:45,93760,38431,0.7092767,0.2907233
1251,2492,google,mountain view,CA,US,NA,NA,program manager,Management,NA,4,2,110000,5000,19000,20000,NA,3/21/16 21:48,93760,38431,0.7092767,0.2907233
1254,2497,google,"mountain view, ca",CA,US,37.41,-122.05,software engineer,Software,NA,6,1,155000,50000,24000,150000,NA,3/21/16 21:50,93760,38431,0.7092767,0.2907233
1256,2501,facebook,new york city,NY,US,38,-97,software engineer,Software,NA,2,2,140000,75000,25000,60000,NA,3/21/16 21:52,21269,9659,0.687694,0.312306
1268,2531,facebook,san francisco,CA,US,NA,NA,software engineer,Software,NA,4,1,128000,25000,12000,150000,NA,3/21/16 22:07,21269,9659,0.687694,0.312306
1275,2539,cisco,san francisco,CA,US,NA,NA,software engineer,Software,NA,1.5,1.5,110000,15000,22000,36000,NA,3/21/16 22:14,82251,29115,0.7385647,0.2614353
1276,2540,google,mountain view,CA,US,NA,NA,software engineer,Software,NA,2,0,115000,0,17000,46000,NA,3/21/16 22:14,93760,38431,0.7092767,0.2907233
1288,2569,intel,boulder,CO,US,NA,NA,swe,Software,NA,0,1,90000,7000,5,0,NA,3/21/16 22:37,120744,41259,0.7453195,0.2546805
1293,2579,twitter,not a coast,CA,US,NA,NA,software engineer ii,Software,2,4,0,115000,0,11000,22500,NA,3/21/16 22:45,6058,3179,0.6558406,0.3441594
1304,2600,google,sf,CA,US,NA,NA,software engineer,Software,NA,1,1,136,10,20,40,NA,3/21/16 23:04,93760,38431,0.7092767,0.2907233
1305,2603,apple,cupertino,CA,US,NA,NA,software engineer,Software,NA,5,1,160000,30000,12000,100000,NA,3/21/16 23:07,157655,69223,0.6948889,0.3051111
1308,2608,google,mountain view,CA,US,NA,NA,se (level 4),Other,NA,2,1,145000,30000,15,68000,PhD degree,3/21/16 23:14,93760,38431,0.7092767,0.2907233
1316,2621,cisco,san jose,CA,US,NA,NA,it engineer,Engineering,NA,2.5,2.5,88000,10000,4400,0,NA,3/21/16 23:27,82251,29115,0.7385647,0.2614353
1318,2625,facebook,menlo park,CA,US,NA,NA,production engineer,Engineering,NA,3,2,140000,10000,10,35000,NA,3/21/16 23:30,21269,9659,0.687694,0.312306
1331,2643,linkedin,mountain view,CA,US,NA,NA,sr software engineer,Software,Senior,8,1,165000,25,8800,75000,NA,3/21/16 23:55,11719,7870,0.5982439,0.4017561
1334,2649,twitter,san francisco,CA,US,NA,NA,software engineer ii,Software,2,3,2,155000,NA,NA,75000,NA,3/21/16 23:58,6058,3179,0.6558406,0.3441594
1335,2650,apple,cupertino,CA,US,NA,NA,software engineering manager,Management,NA,10,2,160000,100000,20000,NA,NA,3/21/16 23:58,157655,69223,0.6948889,0.3051111
1366,2720,intuit,"mountain view, ca",CA,US,37.41,-122.05,software engineer i,Software,1,1,1,100000,5000,10000,"20,000",NA,3/22/16 1:16,10474,7712,0.5759375,0.4240625
1371,2735,intel,"portland, or",OR,US,45.44,-122.52,validation engineer,Engineering,NA,4,3,80000,5000,7000,NA,NA,3/22/16 1:32,120744,41259,0.7453195,0.2546805
1381,2767,facebook,"menlo park, ca",CA,US,37.45,-122.17,software engineering intern,Software,Intern,0,0.25,8400,0,0,0,NA,3/22/16 2:05,21269,9659,0.687694,0.312306
1384,2772,cisco,israel,NA,IL,31.47,35.13,system engineer,Engineering,NA,4,4,85000,0,10000,5000,NA,3/22/16 2:12,82251,29115,0.7385647,0.2614353
1410,2814,hpe,arbedo,NA,CH,NA,NA,software engineer,Software,NA,0.5,0.5,70200,NA,NA,NA,NA,3/22/16 3:03,69588,34390,0.669257,0.330743
1430,2844,cisco,"reading, uk",NA,UK,NA,NA,software engineer,Software,NA,5,3.5,68256,0,17064,5000GBP,NA,3/22/16 3:33,82251,29115,0.7385647,0.2614353
1440,2859,adobe,noida,NA,IN,NA,NA,s.s.e.,Other,NA,3,3,2000000,NA,NA,NA,NA,3/22/16 3:47,14244,6661,0.6813681,0.3186319
1486,2967,google,mountain view,CA,US,NA,NA,sr staff program mgr,Other,Senior,15,0,195500,0,25,100k target,600 GSUs at signing,3/22/16 5:35,93760,38431,0.7092767,0.2907233
1494,2982,google,nyc,NY,US,NA,NA,staff software engineer,Software,NA,6,4,195000,25000,42000,140000,NA,3/22/16 5:45,93760,38431,0.7092767,0.2907233
1502,2999,google,nyc,NY,US,NA,NA,software engineer 4,Software,4,6,0,150000,40000,22500,60000,NA,3/22/16 6:12,93760,38431,0.7092767,0.2907233
1522,3034,facebook,menlo park,CA,US,NA,NA,uie,Other,NA,7,1.5,140000,NA,NA,NA,NA,3/22/16 6:58,21269,9659,0.687694,0.312306
1544,3075,linkedin,sunnyvale,CA,US,NA,NA,senior software engineer,Software,Senior,3,1,159000,40000,15900,70000,NA,3/22/16 8:13,11719,7870,0.5982439,0.4017561
1562,3099,facebook,menlo park,CA,US,NA,NA,strategic value executive,Management,NA,10,5,350000,100000,750000,150000,NA,3/22/16 9:21,21269,9659,0.687694,0.312306
1571,3113,google,mountain view,CA,US,NA,NA,software engineer,Software,NA,7,6,141000,0,21000,70000,"Great co-workers, good work life balance, if you want it, in exchange for slower career growth.",3/22/16 9:46,93760,38431,0.7092767,0.2907233
1577,3129,google,mountain view,CA,US,NA,NA,software engineer iii,Software,3,4,4,136000,7500,20400,61320,"Annual stock value is averaged amount of stock per year, times current stock price. Signing bonus is for relocation.",3/22/16 10:29,93760,38431,0.7092767,0.2907233
1579,3135,facebook,"menlo park, ca",CA,US,37.45,-122.17,software engineer,Software,NA,0,0,105000,85000,10000,40000,NA,3/22/16 10:40,21269,9659,0.687694,0.312306
1602,3197,intel,ireland,NA,IE,53,-8,software architect,Software,NA,10,3,80000,NA,20000,5000,Good work-life balance,3/22/16 14:26,120744,41259,0.7453195,0.2546805
1603,3198,cisco,ireland,NA,IE,53,-8,software engineer,Software,NA,4,1,50000,0,4000,0,NA,3/22/16 14:29,82251,29115,0.7385647,0.2614353
1606,3201,intel,ireland,NA,IE,53,-8,sysadmin,Management,NA,20,4,80000,NA,NA,NA,NA,3/22/16 14:36,120744,41259,0.7453195,0.2546805
1634,3246,facebook,menlo park,CA,US,NA,NA,senior software engineer,Software,Senior,4,1,182000,0,30000,130000,NA,3/22/16 21:58,21269,9659,0.687694,0.312306
1648,3285,facebook,menlo park,CA,US,NA,NA,software engineer,Software,NA,4,1.5,130000,20000,13000,100000,NA,3/23/16 8:02,21269,9659,0.687694,0.312306
1651,3290,intel,europe,NA,NA,NA,NA,staff software enginer,Software,NA,6,4,164000,0,20000,30000 USD,NA,3/23/16 8:27,120744,41259,0.7453195,0.2546805
1654,3298,linkedin,sunnyvale,CA,US,NA,NA,business analytics intern,Other,Intern,2,0,50,0,0,0,NA,3/23/16 9:12,11719,7870,0.5982439,0.4017561
