index,salary_id,employer_name,location_name,location_state,location_country,location_latitude,location_longitude,job_title,job_title_category,job_title_rank,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus,stock_value_bonus,comments,submitted_at,male_count,female_count,male_proportion,female_proportion
318,677,google,san francisco,CA,US,NA,NA,cto google rail product,Management,NA,12,5,356000,190000,70000,0,NA,3/21/16 13:50,93760,38431,0.7092767,0.2907233
327,695,ebay,"san jose, ca",CA,US,37.38,-121.89,mts ii software engineer,Software,NA,20,8,181000,NA,20000,45000,NA,3/21/16 13:51,14648,9434,0.6082551,0.3917449
331,705,twitter,san francisco,CA,US,NA,NA,senior software engineer,Software,Senior,9.75,3.75,164000,0,0,200000,NA,3/21/16 13:51,6058,3179,0.6558406,0.3441594
339,722,airbnb,san francisco,CA,US,NA,NA,software engineer,Software,NA,0,1,110000,50000,NA,NA,NA,3/21/16 13:52,2943,2292,0.5621777,0.4378223
354,758,google,mountain view,CA,US,NA,NA,swe,Software,NA,5,0,135000,30000,20000,60000,NA,3/21/16 13:54,93760,38431,0.7092767,0.2907233
356,761,google,bay area,CA,US,NA,NA,software engineer,Software,NA,5,1.4,125000,10000,25000,50000,NA,3/21/16 13:54,93760,38431,0.7092767,0.2907233
362,781,square,"san francisco, ca",CA,US,37.77,-122.41,software engineer,Software,NA,4,3,110000,0,0,250000,Annual stock value will be much lower after 4 years,3/21/16 13:56,2238,1184,0.6540035,0.3459965
363,783,google,london,NA,UK,NA,NA,engineer,Engineering,NA,3,0.5,65000,0,5000,25000,NA,3/21/16 13:56,93760,38431,0.7092767,0.2907233
365,794,google,san francisco,CA,US,NA,NA,software engineer,Software,NA,10,4,130000,NA,20000,30000,NA,3/21/16 13:56,93760,38431,0.7092767,0.2907233
372,816,intuit,san francisco,CA,US,NA,NA,software engineer ii,Software,2,1,1,110000,5000,10000,15000,NA,3/21/16 13:58,10474,7712,0.5759375,0.4240625
374,821,facebook,menlo park,CA,US,NA,NA,engineer,Engineering,NA,2,2,124000,50000,10000,57000,Great service!,3/21/16 13:58,21269,9659,0.687694,0.312306
383,835,google,mountain view,CA,US,NA,NA,software engineer,Software,NA,2,2,110000,0,18000,55000,NA,3/21/16 13:59,93760,38431,0.7092767,0.2907233
392,850,airbnb,san francisco,CA,US,NA,NA,manager,Management,NA,10,2,180000,12000,NA,NA,NA,3/21/16 14:01,2943,2292,0.5621777,0.4378223
397,862,google,los angeles,CA,US,NA,NA,staff software engineer,Software,NA,20,7,200000,NA,45000,"105,000",NA,3/21/16 14:01,93760,38431,0.7092767,0.2907233
412,893,facebook,menlo park,CA,US,NA,NA,software engineer,Software,NA,2,0,145000,10000,14500,NA,NA,3/21/16 14:04,21269,9659,0.687694,0.312306
419,910,uber,san francisco,CA,US,NA,NA,senior software engineer,Software,Senior,3,1.5,150000,0,25000,100000,NA,3/21/16 14:05,8298,3472,0.7050127,0.2949873
421,912,twitter,new york city,NY,US,38,-97,senior software engineer,Software,Senior,15,2,155000,0,0,325000,NA,3/21/16 14:06,6058,3179,0.6558406,0.3441594
422,918,salesforce,seattle,WA,US,NA,NA,lead member of technical staff,Other,NA,10,5,150000,0,15000,30000,I love working here.,3/21/16 14:06,28212,13189,0.6814328,0.3185672
430,936,google,sydney,NA,AU,NA,NA,swe,Software,NA,15,5,130000,0,20000,~40000,NA,3/21/16 14:07,93760,38431,0.7092767,0.2907233
436,950,square,san francisco,CA,US,NA,NA,software engineer,Software,NA,3,3,115000,0,0,60000,White guy here,3/21/16 14:09,2238,1184,0.6540035,0.3459965
449,977,google,new york city,NY,US,38,-97,software engineer ii (level 3),Software,NA,4,1,117500,0,18000,45000,NA,3/21/16 14:10,93760,38431,0.7092767,0.2907233
451,979,twitter,"san francisco, ca",CA,US,37.77,-122.41,software engineer,Software,NA,3,1,140000,0,0,50000,NA,3/21/16 14:10,6058,3179,0.6558406,0.3441594
455,988,facebook,north carolina,NC,US,38,-97,software engineer,Software,NA,12,2,198000,25000,40000,100000,NA,3/21/16 14:11,21269,9659,0.687694,0.312306
462,998,intel,"folsom, ca",CA,US,38.67,-121.14,application developer,Software,NA,2,2,74000,6000,3000,15000,NA,3/21/16 14:12,120744,41259,0.7453195,0.2546805
472,1013,nvidia,santa clara,CA,US,NA,NA,software engineer ic2,Software,2,2,2,115000,NA,NA,NA,NA,3/21/16 14:13,12844,2581,0.8326742,0.1673258
